Time,Charge
145.5,-3095.08547
146,-3100.42735
146.5,-3106.837607
147,-3115.384615
147.5,-3125
148,-3133.547009
148.5,-3142.094017
149,-3151.709402
149.5,-3160.25641
150,-3168.803419
150.5,-3177.350427
151,-3185.897436
151.5,-3194.444444
152,-3202.991453
152.5,-3211.538462
153,-3220.08547
153.5,-3228.632479
154,-3237.179487
154.5,-3245.726496
155,-3252.136752
155.5,-3236.111111
156,-3219.017094
156.5,-3173.076923
157,-3123.931624
157.5,-3076.923077
158,-3032.051282
158.5,-2988.247863
159,-2945.512821
159.5,-2903.846154
160,-2862.179487
160.5,-2821.581197
161,-2776.709402
161.5,-2776.709402
162,-2776.709402
162.5,-2777.777778
163,-2775.641026
163.5,-2782.051282
164,-2778.846154
164.5,-2788.461538
165,-2797.008547
165.5,-2803.418803
166,-2808.760684
166.5,-2813.034188
167,-2813.034188
167.5,-2813.034188
168,-2813.034188
168.5,-2811.965812
169,-2810.897436
169.5,-2809.82906
170,-2808.760684
170.5,-2807.692308
171,-2806.623932
171.5,-2805.555556
172,-2804.487179
172.5,-2803.418803
173,-2802.350427
173.5,-2801.282051
174,-2800.213675
174.5,-2799.145299
175,-2798.076923
175.5,-2797.008547
176,-2793.803419
176.5,-2780.982906
177,-2788.461538
177.5,-2779.91453
178,-2764.957265
178.5,-2725.42735
179,-2653.846154
179.5,-2575.854701
180,-2504.273504
180.5,-2504.273504
181,-2435.897436
181.5,-2414.529915
182,-2375
182.5,-2337.606838
183,-2294.871795
183.5,-2294.871795
184,-2211.538462
184.5,-2233.974359
185,-2214.74359
185.5,-2186.965812
186,-2159.188034
186.5,-2136.752137
187,-2111.111111
187.5,-2111.111111
188,-2111.111111
188.5,-2111.111111
189,-2111.111111
189.5,-2111.111111
190,-2111.111111
190.5,-2111.111111
191,-2111.111111
191.5,-2111.111111
192,-2111.111111
192.5,-2111.111111
193,-2111.111111
193.5,-2111.111111
194,-2111.111111
194.5,-2111.111111
195,-2111.111111
195.5,-2111.111111
196,-2111.111111
196.5,-2111.111111
197,-2111.111111
197.5,-2111.111111
198,-2111.111111
198.5,-2111.111111
199,-2111.111111
199.5,-2111.111111
200,-2111.111111
200.5,-2111.111111
201,-2111.111111
201.5,-2111.111111
202,-2111.111111
202.5,-2111.111111
203,-2111.111111
203.5,-2111.111111
204,-2111.111111
204.5,-2111.111111
205,-2111.111111
205.5,-2111.111111
206,-2111.111111
206.5,-2111.111111
207,-2144.230769
207.5,-2236.111111
208,-2256.410256
208.5,-2297.008547
209,-2319.444444
209.5,-2363.247863
210,-2397.435897
210.5,-2394.230769
211,-2389.957265
211.5,-2370.726496
212,-2357.905983
212.5,-2348.290598
213,-2337.606838
213.5,-2326.923077
214,-2316.239316
214.5,-2305.555556
215,-2294.871795
215.5,-2284.188034
216,-2273.504274
216.5,-2262.820513
217,-2252.136752
217.5,-2241.452991
218,-2224.358974
218.5,-2210.470085
219,-2219.017094
219.5,-2208.333333
220,-2199.786325
220.5,-2181.623932
221,-2159.188034
221.5,-2136.752137
222,-2112.179487
222.5,-2112.179487
223,-2112.179487
223.5,-2112.179487
224,-2112.179487
224.5,-2112.179487
225,-2112.179487
225.5,-2112.179487
226,-2112.179487
226.5,-2112.179487
227,-2112.179487
227.5,-2112.179487
228,-2112.179487
228.5,-2112.179487
229,-2112.179487
229.5,-2112.179487
230,-2112.179487
230.5,-2112.179487
231,-2112.179487
231.5,-2112.179487
232,-2112.179487
232.5,-2112.179487
233,-2112.179487
233.5,-2112.179487
234,-2112.179487
234.5,-2112.179487
235,-2112.179487
235.5,-2112.179487
236,-2112.179487
236.5,-2112.179487
237,-2112.179487
237.5,-2112.179487
238,-2112.179487
238.5,-2112.179487
239,-2112.179487
239.5,-2112.179487
240,-2112.179487
240.5,-2112.179487
241,-2112.179487
241.5,-2112.179487
242,-2112.179487
242.5,-2112.179487
243,-2112.179487
243.5,-2112.179487
244,-2112.179487
244.5,-2112.179487
245,-2112.179487
245.5,-2213.675214
246,-2226.495726
246.5,-2242.521368
247,-2274.57265
247.5,-2299.145299
