Zeit [s],Leistung [kW],Leistung [W],Current [A],Charge [C],SOC [%],U_R1 [V],U_R [V],I_R1 [A],U_R2 [V],I_R2 [A],Q_Irreversibel [W],Q_Sum_Cell [W],U_ges [V],Temperatur [K],Output Temperature [K],OCV [V],R [Ohm],R1 [Ohm],R2 [Ohm],C1 [C],C2 [C]
5.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
5.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
6.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
6.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
7.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
7.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
8.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
8.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
9.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
9.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
10.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
10.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
11.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
11.5,2.4,-2400,-51.28205128205128,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
12.0,9.5,-9500,-202.99145299145297,-25.64102564102564,49.872812372812376,-0.0029698549772258637,-0.1125782393162393,-2.1764853180376313,-0.002752678466709075,-2.13704716753317,0,0,46.55955595940874,293.15,293.15,3.699805077330077,0.0021952756666666663,0.0013435292672296837,0.0012986648414394246,8633.763546588014,9314.936688439459
12.5,2.7,-2700,-57.692307692307686,-127.13675213675212,49.36936134852802,-0.01447260889993259,-0.4456221972934472,-10.560216157015478,-0.013645485324579118,-10.61850835954124,0,0,41.89793681983444,293.15,293.15,3.6966585084283006,0.0021952756666666663,0.001364518727791627,0.0012880756721371477,8728.995205096126,9219.58905747065
13.0,5.8,-5800,-123.93162393162392,-155.98290598290598,49.226275267941936,-0.01716400696658026,-0.1266505192307692,-12.408025887682903,-0.016205934017818637,-12.67473753600894,0,0,45.9646688827231,293.15,293.15,3.6957642204246373,0.0021952756666666663,0.0013704841534250213,0.0012850661187565006,8756.061044882641,9192.490257090041
13.5,5.4,-5400,-115.38461538461537,-217.94871794871793,48.91890516890517,-0.02349036481438318,-0.2720640783475783,-16.83619988558144,-0.022296009564091966,-17.520292419174098,0,0,43.88790515953485,293.15,293.15,3.6938431573056576,0.0021952756666666663,0.0013832987714523133,0.0012786011522351105,8814.202478498119,9134.278019235398
14.0,9.7,-9700,-207.26495726495725,-275.64102564102564,48.63273300773301,-0.029046561375230186,-0.2533010384615384,-20.503537585062023,-0.027684966404514226,-21.941374087950024,0,0,43.966286195741624,293.15,293.15,3.692054581298331,0.0021952756666666663,0.0013952296227191018,0.001272582045473816,8868.33415807115,9080.08041847418
14.5,9.5,-9500,-202.99145299145297,-379.2735042735043,48.11868301451635,-0.03946203999128768,-0.4550037172364672,-27.448981507630418,-0.03800052062118402,-30.371726708131476,0,0,41.03288138289325,293.15,293.15,3.688841768840727,0.0021952756666666668,0.0014166609666612963,0.0012617699462914916,8965.570693600483,8982.725468958659
15.0,5.4,-5400,-115.38461538461537,-480.7692307692308,47.61523199023199,-0.049148956484007064,-0.44562219729344726,-33.90562310186814,-0.04771203111562051,-38.31794075936106,0,0,40.861756195596385,293.15,293.15,3.6856951999389507,0.0021952756666666668,0.0014376504272232398,0.0012511807769892145,9060.802352108594,8887.37783798985
15.5,0.4,-400,-8.547008547008547,-538.4615384615385,47.32905982905983,-0.05361848923101012,-0.2533010384615384,-36.96641253546987,-0.05207437132353602,-41.836354038086775,0,0,43.22386542390201,293.15,293.15,3.683906623931624,0.0021952756666666663,0.0014495812784900285,0.00124516167022792,9114.934031681623,8833.180237228633
16.0,1.2,-1200,-25.64102564102564,-542.7350427350427,47.30786189119522,-0.05206022740506529,-0.018763039886039886,-35.82660642772145,-0.05018917927942211,-40.365174506462914,0,0,46.31590197324277,293.15,293.15,3.6837741368199706,0.0021952756666666668,0.0014504650452505314,0.0012447158104678243,9118.943785724072,8829.16560013521
16.5,1.0,-1000,-21.367521367521366,-555.5555555555555,47.24426807760141,-0.05150247848097376,-0.056289119658119655,-35.38896913008802,-0.04935420447783528,-39.7292532771727,0,0,45.841001347285044,293.15,293.15,3.6833766754850092,0.0021952756666666668,0.00145311634553204,0.0012433782311875368,9130.97304785141,8817.121688854939
17.0,0.2,-200,-4.273504273504273,-566.2393162393163,47.1912732329399,-0.050735524553604035,-0.04690759971509972,-34.85138902455188,-0.04831176355048817,-38.8970872058831,0,0,45.982177408526866,293.15,293.15,3.683045457705874,0.0021952756666666668,0.001455325762433297,0.0012422635817872971,9140.997432957527,8807.085096121378
17.5,-0.2,200,4.273504273504273,-568.3760683760685,47.1806742640076,-0.049063323031918175,-0.009381519943019943,-33.712948879489744,-0.04634564900800449,-37.307419848310325,0,0,46.51645338817237,293.15,293.15,3.6829792141500484,0.0021952756666666668,0.0014557676458135486,0.0012420406519072491,9143.00230997875,8805.077777574668
18.0,-0.1,100,2.1367521367521367,-566.2393162393163,47.1912732329399,-0.04698551623722227,0.009381519943019943,-32.29012478511697,-0.043984997119894155,-35.403960531692874,0,0,46.81893403579311,293.15,293.15,3.683045457705874,0.0021952756666666668,0.001455325762433297,0.0012422635817872971,9140.997432957527,8807.085096121378
18.5,-0.1,100,2.1367521367521367,-565.1709401709402,47.19657271740605,-0.04510220684029232,0.0046907599715099715,-31.000554401392108,-0.04185396088087736,-33.68564607169198,0,0,46.81057123254366,293.15,293.15,3.6830785794837873,0.0021952756666666668,0.0014551048207431714,0.0012423750467273208,9139.994994446915,8808.088755394734
