Zeit [s],Leistung [kW],Leistung [W],Current [A],Charge [C],SOC [%],U_R1 [V],I_R1 [A],U_R2 [V],I_R2 [A],Q_Irrev [W],Q_Sum_Cell [W],U_ges [V],Temperatur [K],Output Temperature [K],OCV [V],R [Ohm],R1 [Ohm],R2 [Ohm],C1 [C],C2 [C],U_R [V],Q_Irreversibel [W],Delta OCV [V],Q_Reversibel [W],Q_Cell [W]
5.0,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
5.5,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
6.0,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
6.5,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
7.0,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
7.5,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
8.0,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
8.5,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
9.0,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
9.5,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
10.0,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
10.5,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
11.0,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
11.5,2.4,-2400,-51.46073438756366,-25.73036719378183,29.872369210348303,-0.0038199238063843246,0.0,-0.002146578691281487,0.0,0,75.70431557482087,45.67374678327616,313.15,313.16695216840463,3.586647426325127,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.06731578665237202,3.46411981700762,-0.00014640393868616867,2.359289073363215,5.823408890370835
12.0,9.5,-9500,-207.99694943088198,-129.7288419092228,29.35650376037092,-0.01893823539400122,-4.3556077370985316,-0.010738234092642197,-1.9783169775104155,0,864.6355718511932,42.65927104289066,313.15,313.36049257464396,3.583201445119278,0.0013079162384944936,0.0008770128158806489,0.0010850529595023838,6734.9234242725215,11989.460868085049,-0.2720425877179686,56.60491306337532,-0.00015207845863591987,9.905515540562618,66.51042860393794
12.5,2.7,-2700,-63.29222075279615,-161.37495228562088,29.19952900651974,-0.022033563280118025,-21.662884674832203,-0.012959067047758736,-9.898385812922708,0,114.3472789221997,45.03865711578552,313.15,313.38517878118364,3.582152853763552,0.0013058182604908592,0.0008742250018070558,0.0010848469938020639,6724.543830183592,12021.12811250849,-0.08264813760601972,5.7475321634512,-0.00015380518092828288,3.048412369025701,8.7959445324769
13.0,5.8,-5800,-128.7782623067411,-225.76408343899143,28.880138475005,-0.029735562462360865,-25.213793868980506,-0.01781689750663036,-11.945814433756842,0,373.1723999264897,43.73642415267743,313.15,313.4677148811293,3.5800193250130334,0.0013055506620119693,0.0008738694142821962,0.0010848207227410643,6723.2199061077035,12025.167290432984,-0.16812654560731688,22.3614007238765,-0.00015731847677494498,6.34416850123809,28.70556922511459
13.5,5.4,-5400,-123.46688383004046,-287.49752535401166,28.573921005188435,-0.03638802623922708,-34.073823255084314,-0.022262642736304596,-16.425147339618015,0,356.2891780576002,43.657137110183406,313.15,313.54610998921294,3.577973792314659,0.0013046559706885578,0.0008726805395377486,0.0010847328878235021,6718.793485641994,12038.67191668403,-0.16108180717117285,21.194118239550452,-0.00016068686894292721,6.212741611034178,27.40685985058463
14.0,9.7,-9700,-222.18589312255637,-398.59047191528987,28.02286472264241,-0.04982406963627841,-41.75087077648384,-0.030629265730631183,-20.52519598492823,0,1013.2533030047279,41.65397682091695,313.15,313.77127416243655,3.5742927363472514,0.0013038061677169315,0.0008715513128823799,0.0010846494597494796,6714.589147042749,12051.498990355747,-0.2896873378328839,66.3406167693254,-0.0001667484880509335,11.60194500026906,77.94256176959445
14.5,9.5,-9500,-228.06945999041997,-512.6252019104999,27.457216260364582,-0.06255726413082342,-57.38064229570022,-0.0388944348843642,-28.245101252128894,0,1088.9972720341837,41.23939045582986,313.15,314.01241619108714,3.570514204619236,0.0013013653880791876,0.0008683079805820149,0.0010844098400363351,6702.513566719018,12088.340542191992,-0.2968017013094436,71.41546757123812,-0.0001729706211359896,12.353553354468309,83.76902092570643
