Batterie Ladung [C],Zeit [s]
-1673.0769230769408,619.0
-1673.0769230769408,619.5
-1673.0769230769408,620.0
-1673.0769230769408,620.5
-1673.0769230769408,621.0
-1673.0769230769408,621.5
-1673.0769230769408,622.0
-1673.0769230769408,622.5
-1673.0769230769408,623.0
-1673.0769230769408,623.5
-1673.0769230769408,624.0
-1673.0769230769408,624.5
-1673.0769230769408,625.0
-1673.0769230769408,625.5
-1673.0769230769408,626.0
-1673.0769230769408,626.5
-1673.0769230769408,627.0
-1673.0769230769408,627.5
-1673.0769230769408,628.0
-1673.0769230769408,628.5
-1673.0769230769408,629.0
-1673.0769230769408,629.5
-1673.0769230769408,630.0
-1673.0769230769408,630.5
-1673.0769230769408,631.0
-1673.0769230769408,631.5
-1673.0769230769408,632.0
-1673.0769230769408,632.5
-1673.0769230769408,633.0
-1673.0769230769408,633.5
-1673.0769230769408,634.0
-1673.0769230769408,634.5
-1674.1452991453168,635.0
-1777.7777777777953,635.5
-1801.2820512820688,636.0
-1803.418803418821,636.5
-1837.6068376068552,637.0
-1863.2478632478808,637.5
-1879.273504273522,638.0
-1899.5726495726672,638.5
-1919.8717948718124,639.0
-1948.7179487179662,639.5
-1965.8119658119833,640.0
-1982.9059829060004,640.5
-2009.615384615402,641.0
-1979.700854700872,641.5
-1979.700854700872,642.0
-2038.4615384615558,642.5
-2081.196581196599,643.0
-2123.9316239316418,643.5
-2174.145299145317,644.0
-2225.4273504273683,644.5
-2270.2991452991632,645.0
-2293.8034188034367,645.5
-2316.239316239334,646.0
-2323.7179487179665,646.5
-2323.7179487179665,647.0
-2360.0427350427526,647.5
-2353.6324786324963,648.0
-2347.22222222224,648.5
-2340.8119658119836,649.0
-2334.401709401727,649.5
-2327.991452991471,650.0
-2321.5811965812145,650.5
-2315.170940170958,651.0
-2308.760683760702,651.5
-2302.3504273504454,652.0
-2310.897435897454,652.5
-2317.3076923077106,653.0
-2320.512820512839,653.5
-2320.512820512839,654.0
-2319.444444444463,654.5
-2318.376068376087,655.0
-2317.307692307711,655.5
-2316.239316239335,656.0
-2314.102564102583,656.5
-2311.965811965831,657.0
-2309.829059829079,657.5
-2307.692307692327,658.0
-2305.555555555575,658.5
-2303.4188034188232,659.0
-2301.2820512820713,659.5
-2299.1452991453193,660.0
-2297.0085470085673,660.5
-2294.8717948718154,661.0
-2292.7350427350634,661.5
-2290.5982905983115,662.0
-2288.4615384615595,662.5
-2286.3247863248075,663.0
-2284.1880341880556,663.5
-2282.0512820513036,664.0
-2279.9145299145516,664.5
-2277.7777777777997,665.0
-2275.6410256410477,665.5
-2273.5042735042957,666.0
-2271.3675213675438,666.5
-2269.230769230792,667.0
-2267.09401709404,667.5
-2264.957264957288,668.0
-2262.820512820536,668.5
-2260.683760683784,669.0
-2258.547008547032,669.5
-2253.2051282051516,670.0
-2259.615384615408,670.5
-2224.358974358998,671.0
-2181.623931623955,671.5
-2100.4273504273738,672.0
-2042.7350427350661,672.5
-1951.9230769231003,673.0
-1902.7777777778012,673.5
-1883.547008547032,674.0
-1833.3333333333567,674.5
-1810.8974358974592,675.0
-1764.9572649572883,675.5
-1742.5213675213909,676.0
-1742.5213675213909,676.5
-1772.4358974359209,677.0
-1763.8888888889123,677.5
-1743.589743589767,678.0
-1716.8803418803654,678.5
-1689.1025641025876,679.0
-1662.393162393186,679.5
-1643.1623931624167,680.0
-1643.1623931624167,680.5
-1643.1623931624167,681.0
-1643.1623931624167,681.5
-1643.1623931624167,682.0
-1643.1623931624167,682.5
-1643.1623931624167,683.0
-1643.1623931624167,683.5
-1643.1623931624167,684.0
-1643.1623931624167,684.5
-1643.1623931624167,685.0
-1643.1623931624167,685.5
-1643.1623931624167,686.0
-1643.1623931624167,686.5
-1643.1623931624167,687.0
-1643.1623931624167,687.5
-1643.1623931624167,688.0
-1643.1623931624167,688.5
-1643.1623931624167,689.0
-1643.1623931624167,689.5
-1643.1623931624167,690.0
-1643.1623931624167,690.5
-1643.1623931624167,691.0
-1643.1623931624167,691.5
-1643.1623931624167,692.0
-1643.1623931624167,692.5
-1643.1623931624167,693.0
-1643.1623931624167,693.5
-1643.1623931624167,694.0
-1643.1623931624167,694.5
-1643.1623931624167,695.0
-1643.1623931624167,695.5
-1643.1623931624167,696.0
-1643.1623931624167,696.5
-1643.1623931624167,697.0
-1643.1623931624167,697.5
-1643.1623931624167,698.0
-1643.1623931624167,698.5
-1643.1623931624167,699.0
-1643.1623931624167,699.5
-1643.1623931624167,700.0
-1643.1623931624167,700.5
-1643.1623931624167,701.0
-1643.1623931624167,701.5
-1643.1623931624167,702.0
-1643.1623931624167,702.5
-1643.1623931624167,703.0
-1744.6581196581433,703.5
-1762.8205128205364,704.0
-1762.8205128205364,704.5
-1793.8034188034424,705.0
-1818.376068376092,705.5
-1834.4017094017331,706.0
-1853.6324786325024,706.5
-1872.8632478632717,707.0
-1898.5042735042973,707.5
-1914.5299145299384,708.0
-1929.4871794872033,708.5
-1946.5811965812204,709.0
-1962.6068376068615,709.5
-1960.4700854701093,710.0
-1979.7008547008786,710.5
-1994.6581196581435,711.0
-2012.8205128205366,711.5
-2029.9145299145537,712.0
-2045.9401709401948,712.5
-2061.9658119658357,713.0
-2074.7863247863484,713.5
-2086.538461538485,714.0
-2099.358974358998,714.5
-2112.1794871795105,715.0
-2089.743589743613,715.5
-2089.743589743613,716.0
-2154.914529914553,716.5
-2204.0598290598523,717.0
-2241.452991453015,717.5
-2271.3675213675447,718.0
-2301.2820512820745,718.5
-2331.1965811966043,719.0
-2362.17948717951,719.5
-2389.957264957288,720.0
-2416.6666666666897,720.5
-2444.4444444444675,721.0
-2472.2222222222454,721.5
-2500.000000000023,722.0
-2526.709401709425,722.5
-2551.2820512820745,723.0
-2574.786324786348,723.5
-2597.2222222222454,724.0
-2617.521367521391,724.5
-2635.683760683784,725.0
-2652.777777777801,725.5
-2669.871794871818,726.0
-2686.965811965835,726.5
-2705.1282051282283,727.0
-2723.2905982906213,727.5
-2737.17948717951,728.0
-2738.247863247886,728.5
-2738.247863247886,729.0
-2778.8461538461765,729.5
-2780.9829059829285,730.0
-2777.7777777778,730.5
-2776.709401709424,731.0
-2776.709401709424,731.5
-2780.9829059829285,732.0
-2786.324786324809,732.5
-2792.7350427350652,733.0
-2800.2136752136976,733.5
-2807.69230769233,734.0
-2816.2393162393387,734.5
-2824.7863247863474,735.0
-2833.333333333356,735.5
-2841.880341880365,736.0
-2850.4273504273738,736.5
-2858.9743589743825,737.0
-2867.5213675213913,737.5
-2876.0683760684,738.0
-2884.615384615409,738.5
-2893.1623931624176,739.0
-2901.7094017094264,739.5
-2904.914529914555,740.0
-2887.8205128205377,740.5
-2865.3846153846403,741.0
-2803.4188034188282,741.5
-2743.589743589768,742.0
-2685.8974358974606,742.5
-2630.341880341905,743.0
-2576.9230769231017,743.5
-2524.5726495726744,744.0
-2473.290598290623,744.5
-2423.076923076948,745.0
-2373.9316239316486,745.5
-2320.5128205128453,746.0
-2320.5128205128453,746.5
-2272.4358974359225,747.0
-2264.95726495729,747.5
-2251.0683760684014,748.0
-2260.683760683786,748.5
-2253.205128205154,749.0
-2261.7521367521626,749.5
-2269.230769230795,750.0
-2274.5726495726753,750.5
-2276.7094017094273,751.0
-2276.7094017094273,751.5
-2275.6410256410513,752.0
-2274.5726495726753,752.5
-2273.5042735042994,753.0
-2272.4358974359234,753.5
-2271.3675213675474,754.0
-2269.2307692307954,754.5
-2267.0940170940435,755.0
-2264.9572649572915,755.5
-2262.8205128205395,756.0
-2260.6837606837876,756.5
-2258.5470085470356,757.0
-2256.4102564102836,757.5
-2254.2735042735317,758.0
-2252.1367521367797,758.5
-2250.0000000000277,759.0
-2247.863247863276,759.5
-2245.726495726524,760.0
-2243.589743589772,760.5
-2239.3162393162675,761.0
-2222.2222222222504,761.5
-2221.1538461538744,762.0
-2201.9230769231053,762.5
-2177.350427350456,763.0
-2129.273504273533,763.5
-2050.213675213704,764.0
-1964.7435897436185,764.5
-1885.6837606837894,765.0
-1885.6837606837894,765.5
-1824.7863247863536,766.0
-1802.3504273504561,766.5
-1754.273504273533,767.0
-1706.19658119661,767.5
-1662.3931623931912,768.0
-1662.3931623931912,768.5
-1612.179487179516,769.0
-1646.3675213675501,769.5
-1646.3675213675501,770.0
-1618.5897435897723,770.5
-1590.8119658119945,771.0
-1560.8974358974644,771.5
-1529.9145299145584,772.0
-1529.9145299145584,772.5
-1529.9145299145584,773.0
-1529.9145299145584,773.5
-1529.9145299145584,774.0
-1529.9145299145584,774.5
-1529.9145299145584,775.0
-1529.9145299145584,775.5
-1529.9145299145584,776.0
-1529.9145299145584,776.5
-1529.9145299145584,777.0
-1529.9145299145584,777.5
-1529.9145299145584,778.0
-1529.9145299145584,778.5
-1529.9145299145584,779.0
-1529.9145299145584,779.5
-1529.9145299145584,780.0
-1529.9145299145584,780.5
-1529.9145299145584,781.0
-1529.9145299145584,781.5
-1529.9145299145584,782.0
-1529.9145299145584,782.5
-1529.9145299145584,783.0
-1529.9145299145584,783.5
-1529.9145299145584,784.0
-1529.9145299145584,784.5
-1529.9145299145584,785.0
-1529.9145299145584,785.5
-1529.9145299145584,786.0
-1529.9145299145584,786.5
-1529.9145299145584,787.0
-1529.9145299145584,787.5
-1529.9145299145584,788.0
-1529.9145299145584,788.5
-1529.9145299145584,789.0
-1529.9145299145584,789.5
-1529.9145299145584,790.0
-1529.9145299145584,790.5
-1529.9145299145584,791.0
-1529.9145299145584,791.5
-1529.9145299145584,792.0
-1529.9145299145584,792.5
-1529.9145299145584,793.0
-1529.9145299145584,793.5
-1529.9145299145584,794.0
-1529.9145299145584,794.5
-1529.9145299145584,795.0
-1529.9145299145584,795.5
-1529.9145299145584,796.0
-1529.9145299145584,796.5
-1529.9145299145584,797.0
-1529.9145299145584,797.5
-1529.9145299145584,798.0
-1529.9145299145584,798.5
-1529.9145299145584,799.0
-1529.9145299145584,799.5
-1529.9145299145584,800.0
-1529.9145299145584,800.5
-1529.9145299145584,801.0
-1635.6837606837892,801.5
-1667.7350427350711,802.0
-1673.0769230769515,802.5
-1710.4700854701139,803.0
-1737.1794871795155,803.5
-1753.2051282051566,804.0
-1772.4358974359259,804.5
-1794.8717948718233,805.0
-1833.333333333362,805.5
-1853.6324786325072,806.0
-1869.6581196581483,806.5
-1886.7521367521654,807.0
-1904.9145299145584,807.5
-1904.9145299145584,808.0
-1925.2136752137037,808.5
-1938.0341880342166,809.0
-1957.264957264986,809.5
-1975.427350427379,810.0
-1994.6581196581483,810.5
-2019.230769230798,811.0
-2037.393162393191,811.5
-2050.213675213704,812.0
-2064.1025641025926,812.5
-2077.9914529914813,813.0
-2048.0769230769515,813.5
-2048.0769230769515,814.0
-2114.316239316268,814.5
-2165.598290598319,815.0
-2202.9914529914818,815.5
-2233.9743589743875,816.0
-2263.8888888889173,816.5
-2294.871794871823,817.0
-2323.717948717977,817.5
-2346.1538461538744,818.0
-2367.521367521396,818.5
-2388.8888888889173,819.0
-2411.324786324815,819.5
-2433.7606837607123,820.0
-2456.1965811966097,820.5
-2477.564102564131,821.0
-2498.9316239316527,821.5
-2519.230769230798,822.0
-2539.5299145299437,822.5
-2558.7606837607127,823.0
-2576.923076923106,823.5
-2594.017094017123,824.0
-2610.042735042764,824.5
-2626.068376068405,825.0
-2642.094017094046,825.5
-2657.0512820513113,826.0
-2670.9401709402,826.5
-2683.7606837607127,827.0
-2696.5811965812254,827.5
-2706.19658119661,828.0
-2706.19658119661,828.5
-2757.4786324786614,829.0
-2772.4358974359266,829.5
-2785.2564102564393,830.0
-2794.871794871824,830.5
-2807.6923076923367,831.0
-2824.786324786354,831.5
-2840.811965811995,832.0
-2855.76923076926,832.5
-2871.794871794901,833.0
-2887.8205128205423,833.5
-2904.9145299145594,834.0
-2922.0085470085764,834.5
-2939.1025641025935,835.0
-2957.2649572649866,835.5
-2976.4957264957557,836.0
-3001.068376068405,836.5
-3033.1196581196873,837.0
-3067.3076923077215,837.5
-3092.9487179487473,838.0
-3111.1111111111404,838.5
-3127.1367521367815,839.0
-3142.0940170940466,839.5
-3138.8888888889182,840.0
-3138.8888888889182,840.5
-3150.641025641055,841.0
-3159.1880341880637,841.5
-3170.9401709402005,842.0
-3181.623931623961,842.5
-3188.0341880342176,843.0
-3194.444444444474,843.5
-3200.8547008547303,844.0
-3207.2649572649866,844.5
-3213.675213675243,845.0
-3220.0854700854993,845.5
-3226.4957264957557,846.0
-3232.905982906012,846.5
-3239.3162393162684,847.0
-3245.7264957265247,847.5
-3252.136752136781,848.0
-3258.5470085470374,848.5
-3264.957264957294,849.0
-3271.36752136755,849.5
-3277.7777777778065,850.0
-3284.188034188063,850.5
-3290.598290598319,851.0
-3297.0085470085755,851.5
-3303.418803418832,852.0
-3309.8290598290882,852.5
-3316.2393162393446,853.0
-3322.649572649601,853.5
-3329.0598290598573,854.0
-3335.4700854701136,854.5
-3341.88034188037,855.0
-3348.2905982906263,855.5
-3353.6324786325067,856.0
-3358.974358974387,856.5
-3364.3162393162675,857.0
-3369.658119658148,857.5
-3375.000000000028,858.0
-3380.3418803419086,858.5
-3385.683760683789,859.0
-3391.0256410256693,859.5
-3396.3675213675497,860.0
-3401.70940170943,860.5
-3407.0512820513104,861.0
-3412.393162393191,861.5
-3417.735042735071,862.0
-3423.0769230769515,862.5
-3428.418803418832,863.0
-3433.7606837607123,863.5
-3439.1025641025926,864.0
-3444.444444444473,864.5
-3449.7863247863534,865.0
-3455.1282051282337,865.5
-3460.470085470114,866.0
-3465.8119658119945,866.5
-3471.153846153875,867.0
-3476.495726495755,867.5
-3481.8376068376356,868.0
-3487.179487179516,868.5
-3492.5213675213963,869.0
-3497.8632478632767,869.5
-3503.205128205157,870.0
-3508.5470085470374,870.5
-3513.888888888918,871.0
-3519.230769230798,871.5
-3524.5726495726785,872.0
-3529.914529914559,872.5
-3535.2564102564393,873.0
-3540.5982905983196,873.5
-3545.9401709402,874.0
-3551.2820512820804,874.5
