Batterie Ladung [C],Zeit [s]
0.0,0.0
0.0,0.5
0.0,1.0
0.0,1.5
0.0,2.0
0.0,2.5
0.0,3.0
0.0,3.5
0.0,4.0
0.0,4.5
0.0,5.0
0.0,5.5
0.0,6.0
0.0,6.5
0.0,7.0
0.0,7.5
0.0,8.0
0.0,8.5
0.0,9.0
0.0,9.5
0.0,10.0
0.0,10.5
0.0,11.0
0.0,11.5
-25.64102564102564,12.0
-127.13675213675212,12.5
-155.98290598290598,13.0
-217.94871794871793,13.5
-275.64102564102564,14.0
-379.2735042735043,14.5
-480.7692307692308,15.0
-538.4615384615385,15.5
-542.7350427350427,16.0
-555.5555555555555,16.5
-566.2393162393163,17.0
-568.3760683760685,17.5
-566.2393162393163,18.0
-565.1709401709402,18.5
-564.1025641025641,19.0
-563.034188034188,19.5
-561.9658119658119,20.0
-560.8974358974358,20.5
-559.8290598290597,21.0
-558.7606837606836,21.5
-557.6923076923075,22.0
-556.6239316239314,22.5
-570.5128205128203,23.0
-612.179487179487,23.5
-621.7948717948716,24.0
-617.5213675213673,24.5
-612.179487179487,25.0
-586.5384615384613,25.5
-550.213675213675,26.0
-538.4615384615382,26.5
-538.4615384615382,27.0
-538.4615384615382,27.5
-538.4615384615382,28.0
-538.4615384615382,28.5
-538.4615384615382,29.0
-538.4615384615382,29.5
-538.4615384615382,30.0
-538.4615384615382,30.5
-538.4615384615382,31.0
-538.4615384615382,31.5
-538.4615384615382,32.0
-538.4615384615382,32.5
-538.4615384615382,33.0
-538.4615384615382,33.5
-538.4615384615382,34.0
-538.4615384615382,34.5
-538.4615384615382,35.0
-538.4615384615382,35.5
-538.4615384615382,36.0
-538.4615384615382,36.5
-538.4615384615382,37.0
-538.4615384615382,37.5
-538.4615384615382,38.0
-538.4615384615382,38.5
-538.4615384615382,39.0
-538.4615384615382,39.5
-538.4615384615382,40.0
-538.4615384615382,40.5
-538.4615384615382,41.0
-538.4615384615382,41.5
-538.4615384615382,42.0
-538.4615384615382,42.5
-538.4615384615382,43.0
-538.4615384615382,43.5
-538.4615384615382,44.0
-538.4615384615382,44.5
-538.4615384615382,45.0
-538.4615384615382,45.5
-538.4615384615382,46.0
-538.4615384615382,46.5
-538.4615384615382,47.0
-538.4615384615382,47.5
-538.4615384615382,48.0
-538.4615384615382,48.5
-538.4615384615382,49.0
-538.4615384615382,49.5
-538.4615384615382,50.0
-644.2307692307689,50.5
-684.8290598290596,51.0
-695.5128205128203,51.5
-737.179487179487,52.0
-771.3675213675211,52.5
-793.8034188034186,53.0
-825.8547008547007,53.5
-900.6410256410255,54.0
-973.2905982905982,54.5
-1042.7350427350425,55.0
-1117.5213675213672,55.5
-1194.4444444444441,56.0
-1193.3760683760681,56.5
-1198.7179487179485,57.0
-1302.350427350427,57.5
-1372.8632478632476,58.0
-1434.8290598290596,58.5
-1499.9999999999998,59.0
-1568.3760683760681,59.5
-1638.8888888888887,60.0
-1710.4700854700852,60.5
-1767.0940170940169,61.0
-1813.0341880341878,61.5
-1820.5128205128203,62.0
-1820.5128205128203,62.5
-1838.6752136752134,63.0
-1848.290598290598,63.5
-1846.1538461538457,64.0
-1844.0170940170935,64.5
-1840.8119658119654,65.0
-1839.7435897435894,65.5
-1839.7435897435894,66.0
-1839.7435897435894,66.5
-1840.8119658119654,67.0
-1844.0170940170935,67.5
-1847.2222222222217,68.0
-1850.42735042735,68.5
-1853.632478632478,69.0
-1856.8376068376062,69.5
-1860.0427350427344,70.0
-1863.2478632478626,70.5
-1866.4529914529908,71.0
-1869.658119658119,71.5
-1872.8632478632471,72.0
-1876.0683760683753,72.5
-1879.2735042735035,73.0
-1882.4786324786317,73.5
-1885.6837606837598,74.0
-1888.888888888888,74.5
-1892.0940170940162,75.0
-1895.2991452991444,75.5
-1898.5042735042725,76.0
-1901.7094017094007,76.5
-1904.9145299145289,77.0
-1908.119658119657,77.5
-1911.3247863247852,78.0
-1914.5299145299134,78.5
-1917.7350427350416,79.0
-1920.9401709401698,79.5
-1924.145299145298,80.0
-1927.3504273504261,80.5
-1930.5555555555543,81.0
-1933.7606837606825,81.5
-1936.9658119658106,82.0
-1940.1709401709388,82.5
-1943.376068376067,83.0
-1946.5811965811952,83.5
-1947.6495726495712,84.0
-1948.7179487179471,84.5
-1944.4444444444428,85.0
-1962.6068376068358,85.5
-1933.760683760682,86.0
-1891.0256410256393,86.5
-1818.3760683760665,87.0
-1805.5555555555536,87.5
-1760.6837606837587,88.0
-1753.2051282051261,88.5
-1753.2051282051261,89.0
-1724.3589743589723,89.5
-1693.3760683760663,90.0
-1665.5982905982885,90.5
-1634.6153846153825,91.0
-1634.6153846153825,91.5
-1650.6410256410236,92.0
-1631.4102564102543,92.5
-1613.2478632478612,93.0
-1601.4957264957245,93.5
-1582.2649572649552,94.0
-1559.8290598290578,94.5
-1527.7777777777758,95.0
-1527.7777777777758,95.5
-1527.7777777777758,96.0
-1527.7777777777758,96.5
-1527.7777777777758,97.0
-1527.7777777777758,97.5
-1527.7777777777758,98.0
-1527.7777777777758,98.5
-1527.7777777777758,99.0
-1527.7777777777758,99.5
-1527.7777777777758,100.0
-1527.7777777777758,100.5
-1527.7777777777758,101.0
-1527.7777777777758,101.5
-1527.7777777777758,102.0
-1527.7777777777758,102.5
-1527.7777777777758,103.0
-1527.7777777777758,103.5
-1527.7777777777758,104.0
-1527.7777777777758,104.5
-1527.7777777777758,105.0
-1527.7777777777758,105.5
-1527.7777777777758,106.0
-1527.7777777777758,106.5
-1527.7777777777758,107.0
-1527.7777777777758,107.5
-1527.7777777777758,108.0
-1527.7777777777758,108.5
-1527.7777777777758,109.0
-1527.7777777777758,109.5
-1527.7777777777758,110.0
-1527.7777777777758,110.5
-1527.7777777777758,111.0
-1527.7777777777758,111.5
-1527.7777777777758,112.0
-1527.7777777777758,112.5
-1527.7777777777758,113.0
-1527.7777777777758,113.5
-1527.7777777777758,114.0
-1527.7777777777758,114.5
-1527.7777777777758,115.0
-1527.7777777777758,115.5
-1527.7777777777758,116.0
-1528.8461538461518,116.5
-1528.8461538461518,117.0
-1528.8461538461518,117.5
-1528.8461538461518,118.0
-1634.6153846153825,118.5
-1665.5982905982885,119.0
-1678.4188034188014,119.5
-1712.6068376068356,120.0
-1743.5897435897416,120.5
-1762.8205128205109,121.0
-1787.3931623931605,121.5
-1826.923076923075,122.0
-1887.8205128205109,122.5
-1920.940170940169,123.0
-1948.717948717947,123.5
-1973.2905982905966,124.0
-1997.8632478632462,124.5
-1997.8632478632462,125.0
-2023.5042735042719,125.5
-2040.598290598289,126.0
-2064.1025641025626,126.5
-2087.606837606836,127.0
-2116.45299145299,127.5
-2168.803418803417,128.0
-2202.9914529914513,128.5
-2219.0170940170924,129.0
-2236.1111111111095,129.5
-2254.2735042735026,130.0
-2272.4358974358956,130.5
-2291.6666666666647,131.0
-2310.8974358974338,131.5
-2339.7435897435876,132.0
-2376.0683760683737,132.5
-2386.7521367521344,133.0
-2386.7521367521344,133.5
-2448.7179487179465,134.0
-2507.47863247863,134.5
-2557.6923076923053,135.0
-2602.5641025641003,135.5
-2646.367521367519,136.0
-2691.239316239314,136.5
-2736.111111111109,137.0
-2778.846153846152,137.5
-2820.5128205128185,138.0
-2860.042735042733,138.5
-2898.5042735042716,139.0
-2933.760683760682,139.5
-2963.6752136752116,140.0
-2985.042735042733,140.5
-3005.3418803418786,141.0
-3026.7094017094,141.5
-3049.1452991452975,142.0
-3071.581196581195,142.5
-3089.743589743588,143.0
-3096.1538461538444,143.5
-3102.5641025641007,144.0
-3102.5641025641007,144.5
-3087.6068376068356,145.0
-3095.085470085468,145.5
-3100.4273504273483,146.0
-3106.8376068376047,146.5
-3115.3846153846134,147.0
-3124.999999999998,147.5
-3133.547008547007,148.0
-3142.0940170940157,148.5
-3151.7094017094005,149.0
-3160.2564102564093,149.5
-3168.803418803418,150.0
-3177.350427350427,150.5
-3185.8974358974356,151.0
-3194.4444444444443,151.5
-3202.991452991453,152.0
-3211.538461538462,152.5
-3220.0854700854707,153.0
-3228.6324786324794,153.5
-3237.179487179488,154.0
-3245.726495726497,154.5
-3252.1367521367533,155.0
-3236.111111111112,155.5
-3219.017094017095,156.0
-3173.0769230769242,156.5
-3123.931623931625,157.0
-3076.923076923078,157.5
-3032.051282051283,158.0
-2988.247863247864,158.5
-2945.5128205128212,159.0
-2903.8461538461547,159.5
-2862.179487179488,160.0
-2821.5811965811977,160.5
-2776.7094017094028,161.0
-2776.7094017094028,161.5
-2776.7094017094028,162.0
-2777.7777777777787,162.5
-2775.6410256410268,163.0
-2782.051282051283,163.5
-2778.8461538461547,164.0
-2788.4615384615395,164.5
-2797.0085470085482,165.0
-2803.4188034188046,165.5
-2808.760683760685,166.0
-2813.0341880341894,166.5
-2813.0341880341894,167.0
-2813.0341880341894,167.5
-2813.0341880341894,168.0
-2811.9658119658134,168.5
-2810.8974358974374,169.0
-2809.8290598290614,169.5
-2808.7606837606854,170.0
-2807.6923076923094,170.5
-2806.6239316239335,171.0
-2805.5555555555575,171.5
-2804.4871794871815,172.0
-2803.4188034188055,172.5
-2802.3504273504295,173.0
-2801.2820512820535,173.5
-2800.2136752136776,174.0
-2799.1452991453016,174.5
-2798.0769230769256,175.0
-2797.0085470085496,175.5
-2793.803418803421,176.0
-2780.9829059829085,176.5
-2788.461538461541,177.0
-2779.914529914532,177.5
-2764.957264957267,178.0
-2725.4273504273524,178.5
-2653.8461538461556,179.0
-2575.8547008547025,179.5
-2504.2735042735058,180.0
-2504.2735042735058,180.5
-2435.8974358974374,181.0
-2414.529914529916,181.5
-2375.0000000000014,182.0
-2337.606837606839,182.5
-2294.871794871796,183.0
-2294.871794871796,183.5
-2211.5384615384623,184.0
-2233.97435897436,184.5
-2214.7435897435907,185.0
-2186.965811965813,185.5
-2159.188034188035,186.0
-2136.7521367521376,186.5
-2111.1111111111118,187.0
-2111.1111111111118,187.5
-2111.1111111111118,188.0
-2111.1111111111118,188.5
-2111.1111111111118,189.0
-2111.1111111111118,189.5
-2111.1111111111118,190.0
-2111.1111111111118,190.5
-2111.1111111111118,191.0
-2111.1111111111118,191.5
-2111.1111111111118,192.0
-2111.1111111111118,192.5
-2111.1111111111118,193.0
-2111.1111111111118,193.5
-2111.1111111111118,194.0
-2111.1111111111118,194.5
-2111.1111111111118,195.0
-2111.1111111111118,195.5
-2111.1111111111118,196.0
-2111.1111111111118,196.5
-2111.1111111111118,197.0
-2111.1111111111118,197.5
-2111.1111111111118,198.0
-2111.1111111111118,198.5
-2111.1111111111118,199.0
-2111.1111111111118,199.5
-2111.1111111111118,200.0
-2111.1111111111118,200.5
-2111.1111111111118,201.0
-2111.1111111111118,201.5
-2111.1111111111118,202.0
-2111.1111111111118,202.5
-2111.1111111111118,203.0
-2111.1111111111118,203.5
-2111.1111111111118,204.0
-2111.1111111111118,204.5
-2111.1111111111118,205.0
-2111.1111111111118,205.5
-2111.1111111111118,206.0
-2111.1111111111118,206.5
-2144.23076923077,207.0
-2236.1111111111118,207.5
-2256.4102564102573,208.0
-2297.008547008548,208.5
-2319.4444444444453,209.0
-2363.247863247864,209.5
-2397.4358974358984,210.0
-2394.23076923077,210.5
-2389.9572649572656,211.0
-2370.7264957264965,211.5
-2357.905982905984,212.0
-2348.290598290599,212.5
-2337.6068376068383,213.0
-2326.9230769230776,213.5
-2316.239316239317,214.0
-2305.555555555556,214.5
-2294.8717948717954,215.0
-2284.1880341880346,215.5
-2273.504273504274,216.0
-2262.820512820513,216.5
-2252.1367521367524,217.0
-2241.4529914529917,217.5
-2224.3589743589746,218.0
-2210.470085470086,218.5
-2219.0170940170947,219.0
-2208.333333333334,219.5
-2199.786324786325,220.0
-2181.623931623932,220.5
-2159.1880341880346,221.0
-2136.752136752137,221.5
-2112.1794871794878,222.0
-2112.1794871794878,222.5
-2112.1794871794878,223.0
-2112.1794871794878,223.5
-2112.1794871794878,224.0
-2112.1794871794878,224.5
-2112.1794871794878,225.0
-2112.1794871794878,225.5
-2112.1794871794878,226.0
-2112.1794871794878,226.5
-2112.1794871794878,227.0
-2112.1794871794878,227.5
-2112.1794871794878,228.0
-2112.1794871794878,228.5
-2112.1794871794878,229.0
-2112.1794871794878,229.5
-2112.1794871794878,230.0
-2112.1794871794878,230.5
-2112.1794871794878,231.0
-2112.1794871794878,231.5
-2112.1794871794878,232.0
-2112.1794871794878,232.5
-2112.1794871794878,233.0
-2112.1794871794878,233.5
-2112.1794871794878,234.0
-2112.1794871794878,234.5
-2112.1794871794878,235.0
-2112.1794871794878,235.5
-2112.1794871794878,236.0
-2112.1794871794878,236.5
-2112.1794871794878,237.0
-2112.1794871794878,237.5
-2112.1794871794878,238.0
-2112.1794871794878,238.5
-2112.1794871794878,239.0
-2112.1794871794878,239.5
-2112.1794871794878,240.0
-2112.1794871794878,240.5
-2112.1794871794878,241.0
-2112.1794871794878,241.5
-2112.1794871794878,242.0
-2112.1794871794878,242.5
-2112.1794871794878,243.0
-2112.1794871794878,243.5
-2112.1794871794878,244.0
-2112.1794871794878,244.5
-2112.1794871794878,245.0
-2213.6752136752143,245.5
-2226.495726495727,246.0
-2242.521367521368,246.5
-2274.5726495726503,247.0
-2299.1452991452998,247.5
-2315.170940170941,248.0
-2334.40170940171,248.5
-2352.564102564103,249.0
-2376.0683760683764,249.5
-2392.0940170940175,250.0
-2408.1196581196587,250.5
-2430.555555555556,251.0
-2396.367521367522,251.5
-2396.367521367522,252.0
-2444.444444444445,252.5
-2481.8376068376074,253.0
-2524.5726495726503,253.5
-2574.7863247863256,254.0
-2625.000000000001,254.5
-2666.6666666666674,255.0
-2690.170940170941,255.5
-2711.5384615384623,256.0
-2712.6068376068383,256.5
-2710.4700854700864,257.0
-2700.8547008547016,257.5
-2700.8547008547016,258.0
-2686.965811965813,258.5
