R2 [Ohm],Zeit [s]
0.0013013399999999998,0.0
0.0013013399999999998,0.5
0.0013013399999999998,1.0
0.0013013399999999998,1.5
0.0013013399999999998,2.0
0.0013013399999999998,2.5
0.0013013399999999998,3.0
0.0013013399999999998,3.5
0.0013013399999999998,4.0
0.0013013399999999998,4.5
0.0013013399999999998,5.0
0.0013013399999999998,5.5
0.0013013399999999998,6.0
0.0013013399999999998,6.5
0.0013013399999999998,7.0
0.0013013399999999998,7.5
0.0013013399999999998,8.0
0.0013013399999999998,8.5
0.0013013399999999998,9.0
0.0013013399999999998,9.5
0.0013013399999999998,10.0
0.0013013399999999998,10.5
0.0013013399999999998,11.0
0.0013013399999999998,11.5
0.0012987375650386232,12.0
0.0012875634902317272,12.5
0.0012741570004356517,13.0
0.0012666704556914998,13.5
0.0012565289071452932,14.0
0.0012415210142561297,14.5
0.0012178870089853146,15.0
0.0011982047798999515,15.5
0.0011933527926162694,16.0
0.001191687665511672,16.5
0.0011901441686267013,17.0
0.001189548244097355,17.5
0.0011895067737944817,18.0
0.0011893856509321097,18.5
0.0011893097262708325,19.0
0.001189268728816027,19.5
0.0011892595826308314,20.0
0.0011892794688535345,20.5
0.0011893258103042913,21.0
0.0011893962508358496,21.5
0.0011894886364356102,22.0
0.001189600997928498,22.5
0.0011882261185258798,23.0
0.0011838428776962796,23.5
0.0011812801919534907,24.0
0.001181644764395163,24.5
0.001182173742312177,25.0
0.0011847448729838562,25.5
0.0011877248789636734,26.0
0.0011877797607170977,26.5
0.00118779593656135,27.0
0.0011879574778372612,27.5
0.001188123800177345,28.0
0.0011882944381272444,28.5
0.0011884689648605099,29.0
0.001188646988952169,29.5
0.001188828151425176,30.0
0.0011890121230464542,30.5
0.0011891986018512483,31.0
0.0011893873108763066,31.5
0.0011895779960840796,32.0
0.0011897704244616721,32.5
0.0011899643822796398,33.0
0.0011901596734970586,33.5
0.0011903561183003843,34.0
0.0011905535517647582,34.5
0.0011907518226273498,35.0
0.0011909507921632329,35.5
0.0011911503331551057,36.0
0.001191350328948895,36.5
0.0011915506725880087,37.0
0.0011917512660195519,37.5
0.0011919520193664772,38.0
0.0011921528502600713,38.5
0.0011923536832277198,39.0
0.001192554449131302,39.5
0.001192755084651958,40.0
0.0011929555318173318,40.5
0.0011931557375677508,41.0
0.0011933556533580709,41.5
0.0011935552347922085,42.0
0.001193754441287646,42.5
0.0011939532357673841,43.0
0.0011941515843770997,43.5
0.0011943494562253773,44.0
0.001194546823145121,44.5
0.0011947436594743868,45.0
0.0011949399418550342,45.5
0.0011951356490477088,46.0
0.0011953307617618317,46.5
0.0011955252624993478,47.0
0.0011957191354110934,47.5
0.0011959123661647664,48.0
0.0011961049418235366,48.5
0.0011962968507344173,49.0
0.0011964880824256196,49.5
0.001196678627512137,50.0
0.001186344647751548,50.5
0.0011721577313341064,51.0
0.001169390796575116,51.5
0.0011652552331224055,52.0
0.001160294125930147,52.5
0.0011569867935012066,53.0
0.0011533507392437925,53.5
0.001144733266305493,54.0
0.0011314947128949011,54.5
0.0011182180230680345,55.0
0.0011047295436804002,55.5
0.0010900481145797044,56.0
0.0010834831443651068,56.5
0.0010826347184373633,57.0
0.001071880866341037,57.5
0.001053949482194146,58.0
0.0010409634817984729,58.5
0.00102916076317095,59.0
0.0010165829151010395,59.5
0.0010031566197875464,60.0
0.000989118937833578,60.5
0.0009764060634818089,61.0
0.0009668749071819151,61.5
0.0009627016261288571,62.0
0.0009615391906433842,62.5
0.0009588073527559606,63.0
0.000956673214579659,63.5
0.0009560401750447636,64.0
0.0009556444995115036,64.5
0.0009554732775416058,65.0
0.0009552008192722403,65.5
0.0009549165587426311,66.0
0.0009547086805398042,66.5
