"Time","R2"
"0","0.00130134"
"0.5","0.00130134"
"1","0.00130134"
"1.5","0.00130134"
"2","0.00130134"
"2.5","0.00130134"
"3","0.00130134"
"3.5","0.00130134"
"4","0.00130134"
"4.5","0.00130134"
"5","0.00130134"
"5.5","0.00130134"
"6","0.00130134"
"6.5","0.00130134"
"7","0.00130134"
"7.5","0.00130134"
"8","0.00130134"
"8.5","0.00130134"
"9","0.00130134"
"9.5","0.00130134"
"10","0.00130134"
"10.5","0.00130134"
"11","0.00130134"
"11.5","0.00130134"
"12","0.0012981964762152"
"12.5","0.0012775883431635"
"13","0.0012733265232805"
"13.5","0.0012630308281931"
"14","0.0012531445818972"
"14.5","0.0012302137917977"
"15","0.0012057344502883"
"15.5","0.0011946180688272"
"16","0.001193782932226"
"16.5","0.0011920313096845"
"17","0.0011905500628041"
"17.5","0.0011900708779485"
"18","0.001190061337584"
"18.5","0.0011899867229227"
"19","0.0011899469352021"
"19.5","0.0011899387661438"
"20","0.0011899594206145"
"20.5","0.0011900063427391"
"21","0.0011900771955352"
"21.5","0.0011901698422231"
"22","0.0011902823291192"
"22.5","0.0011904128699794"
"23","0.001188897807888"
"23.5","0.0011830927883895"
"24","0.0011819969538977"
"24.5","0.0011824258841268"
"25","0.001182967209757"
"25.5","0.0011849724285241"
"26","0.0011874436207279"
"26.5","0.0011885868722904"
"27","0.0011887472068259"
"27.5","0.001188912915257"
"28","0.0011890829024252"
"28.5","0.0011892567429368"
"29","0.0011894340491344"
"29.5","0.0011896144654293"
"30","0.0011897976656257"
"30.5","0.0011899833504806"
"31","0.0011901712454691"
"31.5","0.0011903610987378"
"32","0.00119055267923"
"32.5","0.0011907457749674"
"33","0.0011909401914771"
"33.5","0.0011911357503485"
"34","0.0011913322879125"
"34.5","0.0011915296540296"
"35","0.0011917277109796"
"35.5","0.0011919263324441"
"36","0.0011921254025725"
"36.5","0.0011923248151268"
"37","0.0011925244726964"
"37.5","0.0011927242859786"
"38","0.0011929241731178"
"38.5","0.0011931240591001"
"39","0.0011933238751973"
"39.5","0.001193523558457"
"40","0.0011937230512342"
"40.5","0.0011939223007621"
"41","0.001194121258757"
"41.5","0.0011943198810568"
"42","0.0011945181272883"
"42.5","0.0011947159605616"
"43","0.0011949133471898"
"43.5","0.0011951102564315"
"44","0.0011953066602539"
"44.5","0.0011955025331156"
"45","0.0011956978517663"
"45.5","0.0011958925950638"
"46","0.0011960867438047"
"46.5","0.0011962802805694"
"47","0.0011964731895794"
"47.5","0.0011966654565663"
"48","0.001196857068651"
"48.5","0.0011970480142326"
"49","0.0011972382828869"
"49.5","0.0011974278652719"
"50","0.001197616753042"
"50.5","0.0011775217180761"
"51","0.0011713152769746"
"51.5","0.0011702641617587"
"52","0.0011646857482141"
"52.5","0.0011601412102165"
"53","0.0011574654494331"
"53.5","0.0011533482048851"
"54","0.001140367792092"
"54.5","0.0011268682538959"
"55","0.0011140572411096"
"55.5","0.0010998011592177"
"56","0.0010846924647045"
"56.5","0.0010844736795065"
"57","0.0010836550983975"
"57.5","0.0010633260200803"
"58","0.0010492681019042"
"58.5","0.0010377905561362"
"59","0.0010256528824825"
"59.5","0.0010125677664634"
"60","0.00099875001230597"
"60.5","0.00098448199434299"
"61","0.00097371612601415"
"61.5","0.00096540789814112"
"62","0.00096344609896105"
"62.5","0.00096251611482214"
"63","0.00095954530139222"
"63.5","0.00095772159401588"
"64","0.00095732732103147"
"64.5","0.00095705025503323"
"65","0.00095698636009778"
"65.5","0.00095680433056588"
"66","0.00095659386493302"
"66.5","0.00095645389953217"
"67","0.00095626540268793"
"67.5","0.00095590253873951"
"68","0.00095558384565421"
"68.5","0.00095530587293178"
"69","0.00095506480458757"
"69.5","0.00095485721423524"
"70","0.00095468002451913"
"70.5","0.00095453046852885"
"71","0.00095483741481353"
"71.5","0.00095559715405712"
"72","0.00095637730581002"
"72.5","0.0009571761132712"
"73","0.00095799199214966"
"73.5","0.00095882351022732"
"74","0.0009596693706156"
"74.5","0.00096052839699487"
"75","0.00096139952059233"
"75.5","0.00096228176868713"
"76","0.00096317425445755"
"76.5","0.00096407616800734"
"77","0.00096498676842839"
"77.5","0.00096590537677441"
"78","0.0009668313698356"
"78.5","0.00096776417461796"
"79","0.00096870326344242"
"79.5","0.00096964814958984"
"80","0.00097059838342659"
"80.5","0.00097155354895364"
"81","0.00097251326072923"
"81.5","0.00097347716112084"
"82","0.00097444491784828"
"82.5","0.00097541622178366"
"83","0.00097639078497878"
"83.5","0.00097736833889362"
"84","0.0009780043821911"
"84.5","0.00097864390104022"
"85","0.00097839696860093"
"85.5","0.00098158080486136"
"86","0.00097656258192858"
"86.5","0.00096893164925239"
"87","0.00096545322548422"
"87.5","0.00096707388845395"
"88","0.0009705862449826"
"88.5","0.00097179725558857"
"89","0.00097233571790207"
"89.5","0.00097513187021193"
"90","0.0009779865866161"
"90.5","0.00098064866861556"
"91","0.00098347789475877"
"91.5","0.00098399235116488"
"92","0.00098274284846197"
"92.5","0.00098491935567251"
"93","0.00098696797007642"
"93.5","0.00098852882428484"
"94","0.0009906512222624"
"94.5","0.00099296805600931"
"95","0.00099581656455018"
"95.5","0.00099630975609534"
"96","0.00099681132108314"
"96.5","0.0009973177596138"
"97","0.00099782821391544"
"97.5","0.00099834193830097"
"98","0.00099885827617767"
"98.5","0.00099937664945902"
"99","0.00099989654927245"
"99.5","0.001000417527768"
"100","0.0010009391908976"
"100.5","0.00100146119205"
"101","0.0010019832264402"
"101.5","0.0010025050261643"
"102","0.00100302635584"
