Zeit [s],Leistung [kW],Leistung [W],Current [A],Charge [C],SOC [%],U_R1 [V],U_R [V],I_R1 [A],U_R2 [V],I_R2 [A],Q_Irrev [W],Q_Sum_Cell [W],U_ges [V],Temperatur [K],Output Temperature [K],OCV [V],R [Ohm],R1 [Ohm],R2 [Ohm],C1 [C],C2 [C]
5.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
5.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
6.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
6.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
7.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
7.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
8.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
8.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
9.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
9.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
10.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
10.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
11.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
11.5,2.4,-2400,-49.88795995659747,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
12.0,9.5,-9500,-203.85546810069744,-24.943979978298735,49.87626994058384,-0.0028893389940175323,-0.10951782455235949,-2.1175635037967493,-0.0026776592715417455,-2.0787612467941927,0,0,46.6016442360395,293.15,293.15,3.6998266871286494,0.0021952756666666668,0.0013433851171954624,0.0012987375650386232,8633.109520878663,9315.591510616832
12.5,2.7,-2700,-64.47904412586882,-126.87171402864746,49.370676021683295,-0.01444528829503395,-0.4475189486384039,-10.535307915842408,-0.013620189170572658,-10.601516233184324,0,0,41.874069887409625,293.15,293.15,3.6966667251355205,0.0021952756666666663,0.0013644639175339982,0.001288103323876735,8728.746524491788,9219.83804091652
13.0,5.8,-5800,-126.74675048603875,-159.11123609158187,49.210757757482234,-0.017524621494263617,-0.1415492765794461,-12.660132634805912,-0.016551644983757916,-12.94991272955319,0,0,45.76054200804836,293.15,293.15,3.6956672359842644,0.0021952756666666668,0.0013711310965398489,0.0012847397363727501,8758.996302108695,9189.551425327867
13.5,5.4,-5400,-123.30777096389156,-222.48461133460125,48.89640569774503,-0.023993247433104797,-0.2782440571710723,-17.174998011600152,-0.02278366181144102,-17.915972742315496,0,0,43.792860399538746,293.15,293.15,3.6937025356109063,0.0021952756666666663,0.0013842368006543623,0.0012781279171082873,8818.458427638714,9130.016887229121
14.0,9.7,-9700,-221.90233253521313,-284.13849681654705,48.59058285309253,-0.029971678030818488,-0.2706945491079376,-21.10782971922289,-0.028592230123213023,-22.690088271190632,0,0,43.71292491240817,293.15,293.15,3.6917911428318284,0.0021952756666666663,0.0013969869118412438,0.0012716954942462372,8876.307186109958,9072.097680936498
14.5,9.5,-9500,-234.19357332315985,-395.0896630841536,48.04022984581273,-0.04115126152239339,-0.4871367909911283,-28.495191812729235,-0.03969923226679716,-31.812755366748657,0,0,40.56473397282814,293.15,293.15,3.6883514365363297,0.0021952756666666663,0.001419931770793247,0.00126011982771862,8980.410717774595,8967.867372704868
15.0,5.4,-5400,-135.43619762748338,-512.1864497457335,47.45939261038823,-0.05246545472930826,-0.5141194528060486,-35.980791889897155,-0.051123026111362616,-41.20040761827551,0,0,39.87117251218669,293.15,293.15,3.684721203814927,0.0021952756666666668,0.001444147552781536,0.0012479029813397306,9090.280577174264,8857.863714543837
15.5,0.4,-400,-9.406894681970048,-579.9045485594752,47.12348934246292,-0.05789790880608724,-0.297319789037472,-39.67989813336295,-0.05648083464311166,-45.53631165589983,0,0,42.522002586748386,293.15,293.15,3.682621808390393,0.0021952756666666668,0.0014581517519084881,0.0012408378719215795,9153.819280563124,8794.247634157691
16.0,1.2,-1200,-25.993713542762826,-584.6079959004602,47.10015875049375,-0.056245133358368254,-0.02065072699422492,-38.47630588908696,-0.05442565151201293,-43.92739227520357,0,0,46.16500824423774,293.15,293.15,3.6824759921905863,0.0021952756666666668,0.0014591244315067067,0.00124034715569226,9158.232442638538,8789.829097763766
16.5,1.0,-1000,-21.877752744898853,-597.6048526718416,47.03569021492142,-0.05556454388737317,-0.057063366826731014,-37.95199535640774,-0.05340409443254079,-43.14262488623532,0,0,45.70853376305599,293.15,293.15,3.6820730638432595,0.0021952756666666663,0.0014618121999680086,0.0012389911782388113,9170.427165199424,8777.619524553367
17.0,0.2,-200,-4.362170515087877,-608.543729044291,46.9814299154549,-0.05468910636583793,-0.04802769824222633,-37.342544806118234,-0.052191362622739164,-42.17066888208453,0,0,45.84873500663028,293.15,293.15,3.681733936971594,0.0021952756666666668,0.0014640743751564503,0.0012378499123167491,9180.690920877922,8767.34326974359
17.5,-0.2,200,4.310427659922998,-610.724814301835,46.97061104016947,-0.05289332516940571,-0.009576166785623216,-36.12735307484267,-0.0500346467694176,-40.42069670561503,0,0,46.39910834359596,293.15,293.15,3.6816663190010592,0.0021952756666666668,0.001464525426689121,0.0012376223571097245,9182.737394888156,8765.294303551338
18.0,-0.1,100,2.140902468364831,-608.5696004718734,46.981301584960946,-0.05069100324386469,0.009462576954755898,-34.62835259006695,-0.04748363177032368,-38.356388066522726,0,0,46.709273999005454,293.15,293.15,3.681733134906006,0.0021952756666666663,0.0014640797254044623,0.0012378472131200809,9180.715195584271,8767.318965475664
18.5,-0.1,100,2.1411512523786613,-607.499149237691,46.98661136290828,-0.04868825741561655,0.004699871093507917,-33.26525553301903,-0.04517433709309466,-36.487691004801974,0,0,46.703846768838666,293.15,293.15,3.6817663210181775,0.0021952756666666668,0.0014638583545670972,0.0012379588945646103,9179.71080998201,8768.324574211825
19.0,-0.1,100,2.1386718586545337,-606.4285736115016,46.99192175787945,-0.04675953208120691,0.004700417242999733,-31.952321077844452,-0.04297184038373706,-34.705588545648105,0,0,46.75799122494243,293.15,293.15,3.6817995109867465,0.0021952756666666663,0.001463636958005288,0.0012380705889871047,9178.706307664916,8769.330299804955
19.5,-0.1,100,2.136304674837055,-605.3592376821744,46.99722600356064,-0.044902259457905505,0.00469497429028907,-30.687817987019,-0.040871335614586224,-33.00617539939928,0,0,46.809802542620666,293.15,293.15,3.681832662522254,0.0021952756666666663,0.0014634158178145527,0.0012381821540705582,9177.702968533622,8770.33486079576
20.0,-0.1,100,2.134040917545414,-604.2910853447559,47.00252437825022,-0.043113810450356754,0.004689777669256032,-29.46997195944168,-0.03886807916541875,-31.385598170327214,0,0,46.85945765042808,293.15,293.15,3.681865777364064,0.0021952756666666663,0.001463194922392307,0.0012382935956684667,9176.70073994584,8771.338309890645
20.5,-0.1,100,2.1318757884425787,-603.2240648859831,47.007817138462386,-0.04139165223101645,0.004684808097958454,-28.29707334481017,-0.03695754922530729,-29.840184021752385,0,0,46.907048028841324,293.15,293.15,3.68189885711539,0.0021952756666666668,0.0014629742610441751,0.0012384049191761358,9175.699573379923,8772.34069567034
21.0,-0.1,100,2.1298047263748083,-602.1581269917618,47.01310452881071,-0.039733344545294765,0.004680055042723807,-27.167474674448954,-0.035135435168014095,-28.36643200862471,0,0,46.95266132224826,293.15,293.15,3.681931903305067,0.0021952756666666663,0.0014627538235719312,0.0012385161297385637,9174.69942256532,8773.342064461747
21.5,-0.1,100,2.1278233985554884,-601.0932246285744,47.01838678259636,-0.038136536353202743,0.004675508490562275,-26.07958841929428,-0.03339762764155485,-26.96100499215454,0,0,46.99638140453142,293.15,293.15,3.6819649173912277,0.0021952756666666668,0.0014625336002489781,0.001238627232262813,9173.70024337131,8774.34246044933
22.0,-0.1,100,2.1259276877616267,-600.0293129292967,47.02366412237452,-0.03659896259155521,0.004671158929812832,-25.031884827630616,-0.031740209125175126,-25.620721936869025,0,0,47.03828854371301,293.15,293.15,3.6819979007648413,0.0021952756666666663,0.0014623135817967302,0.0012387382314299235,9172.701993699855,8775.341925782388
22.5,1.3,-1300,-27.61347784470094,-598.9663490854159,47.02893676048901,-0.03511844105270521,0.00466699732203603,-23.972466448016036,-0.030159444931802476,-24.373067644040976,0,0,47.0784595591776,293.15,293.15,3.6820308547530565,0.0021952756666666663,0.0014620937593623259,0.0012388491317061588,9171.704633384481,8776.340500676315
23.0,3.9,-3900,-84.38052753073025,-612.7730880077664,46.96045095234243,-0.035316652619184354,-0.06061919598451109,-23.965037152320896,-0.030344328724353477,-24.610023488551814,0,0,46.21919433461319,293.15,293.15,3.6816028184521405,0.0021952756666666668,0.0014649490126040666,0.0012374086582891105,9184.659254150896,8763.370103861564
23.5,0.9,-900,-20.226977209907044,-654.9633517731315,46.75117385033169,-0.038591472737228405,-0.18523851882870887,-26.15013879889154,-0.03377006899125364,-27.411843933079705,0,0,44.495032088095975,293.15,293.15,3.6802948365645736,0.0021952756666666668,0.0014736740191435133,0.0012330068981230013,9224.245638031203,8723.735511954425
24.0,-0.4,400,8.633465631907118,-665.0768403780851,46.701007736219815,-0.038270737865420054,-0.04440379087913016,-25.94850074980706,-0.03335782012407676,-27.06731812477082,0,0,46.33133634327571,293.15,293.15,3.6799812983513736,0.0021952756666666668,0.0014757655029679702,0.0012319517458838675,9233.734946856368,8714.23464711404
24.5,-0.5,500,10.591496161680391,-660.7601075621316,46.72242010137832,-0.036397327897491734,0.01895283702072865,-24.696621253988976,-0.03131035530070054,-25.394572196736878,0,0,47.20768363292997,293.15,293.15,3.680115125633615,0.0021952756666666663,0.0014748727964834197,0.0012324021157289738,9229.684632231378,8718.289894184409
25.0,-2.4,2400,50.721323973544074,-655.4643594812914,46.74868869304915,-0.03448463386612347,0.02325125379733036,-23.482368932092758,-0.029247706225734058,-23.670842954923486,0,0,47.317376834481394,293.15,293.15,3.680279304331558,0.0021952756666666668,0.0014737776282499726,0.001232954627395685,9224.715724769047,8723.264852748174
25.5,-3.4,3400,69.9868587463782,-630.1036974945193,46.87448562750735,-0.03045222782399637,0.11134728830023793,-20.83918742802005,-0.02499531069034839,-20.16968458489816,0,0,48.58054870445159,293.15,293.15,3.6810655351719213,0.0021952756666666663,0.00146853300728932,0.0012356005352842999,9200.920260809628,8747.089294660429
26.0,-1.1,1100,22.323420891770166,-595.1102681213303,47.04806414622356,-0.025498847106269804,0.15364044799236123,-17.47707731632815,-0.019861089547680774,-16.011636626413512,0,0,49.27560185928,293.15,293.15,3.6821504009138977,0.0021952756666666668,0.0014612963163357692,0.0012392514411982112,9168.086540305787,8779.962999843952
26.5,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.023325764712892858,0.049006062680461336,-15.987632368267663,-0.017680594597781197,-14.253762632657784,0,0,47.97644981289885,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
27.0,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.022452849951132496,-0.0,-15.389330856114245,-0.016869841739960777,-13.600148936285184,0,0,47.36125867710741,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
27.5,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.02161260207899732,-0.0,-14.813419444708675,-0.016096266375964376,-12.976507035788224,0,0,47.38223837917712,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
28.0,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.02080379861094289,-0.0,-14.259060234427912,-0.015358163712483275,-12.381462558884014,0,0,47.40234815888708,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
28.5,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.020025262810221885,-0.0,-13.725446682175004,-0.014653907130392291,-11.813704155845267,0,0,47.42162445986364,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
29.0,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.019275861976837352,-0.0,-13.211802427930985,-0.013981944600031942,-11.271980609568239,0,0,47.44010218359232,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
29.5,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.018554505799565434,-0.0,-12.717380165220437,-0.013340795260869714,-10.755098078160009,0,0,47.45781475530596,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
30.0,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.01786014476965002,-0.0,-12.241460553847379,-0.012729046158002744,-10.261917463968368,0,0,47.47479418703213,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
30.5,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.017191768653861312,-0.0,-11.783351173319579,-0.01214534912830987,-9.791351903256189,0,0,47.4910711379234,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
31.0,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.016548405024696785,-0.0,-11.342385515438634,-0.011588417829390789,-9.342364370988097,0,0,47.50667497198848,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
31.5,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.01592911784558609,-0.0,-10.917922014590117,-0.011057024904744762,-8.913965395450882,0,0,47.52163381333732,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
32.0,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.015333006109041526,-0.0,-10.509343114322963,-0.010549999278941524,-8.505210877671198,0,0,47.53597459904783,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
32.5,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.01475920252577267,-0.0,-10.116054368860032,-0.010066223576823529,-8.115200010824978,0,0,47.549723129757865,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
33.0,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.014206872262858002,-0.0,-9.737483578232641,-0.009604631661052035,-7.743073295053421,0,0,47.56290411808079,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
33.5,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.013675211729137623,-0.0,-9.373079955780762,-0.00916420628257027,-7.388010643310626,0,0,47.57554123493942,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
34.0,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.013163447406059951,-0.0,-9.02231332680766,-0.008743976838805857,-7.049229574068562,0,0,47.58765715390836,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
34.5,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.01267083472228137,-0.0,-8.684673357223105,-0.008343017234672009,-6.7259834868964985,0,0,47.599273593651226,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
35.0,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.012196656970381487,-0.0,-8.359668811052888,-0.007960443841653642,-6.417560017114626,0,0,47.61041135853517,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
35.5,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.011740224264117898,-0.0,-8.046826835734398,-0.007595413550480653,-6.123279465895908,0,0,47.621090377501844,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
36.0,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.011300872534703377,-0.0,-7.745692274158396,-0.007247121913096867,-5.842493302356408,0,0,47.631329741270214,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
36.5,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.010877962564645148,-0.0,-7.45582700245612,-0.006914801369829977,-5.574582734333058,0,0,47.64114773794344,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
37.0,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.010470879057740575,-0.0,-7.1768092925682145,-0.006597719557855523,-5.318957344699155,0,0,47.65056188708887,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
37.5,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.01007902974387619,-0.0,-6.908233198668108,-0.00629517769722713,-5.075053790212309,0,0,47.65958897235728,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
38.0,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.009701844517327612,-0.0,-6.64970796654711,-0.006006509050916176,-4.842334560027407,0,0,47.66824507270445,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
38.5,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.009338774607306696,-0.0,-6.400857465101983,-0.005731077455467138,-4.6202867911386,0,0,47.67654559227556,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
39.0,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.00898929177954907,-0.0,-6.161319639097796,-0.0054682759190305035,-4.408421138139824,0,0,47.68450528901009,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
39.5,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.008652887567780517,-0.0,-5.93074598240993,-0.005217525283683606,-4.206270694813028,0,0,47.692138302022585,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
40.0,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.008329072533943988,-0.0,-5.708801030978817,-0.004978272949091441,-4.0133899651675495,0,0,47.69945817781216,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
40.5,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.008017375556110982,-0.0,-5.495161874739718,-0.004749991654694674,-3.829353881662998,0,0,47.70647789535115,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
41.0,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.007717343143041254,-0.0,-5.289517687817448,-0.004532178317741054,-3.6537568684520503,0,0,47.71320989010145,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
41.5,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.007428538774393597,-0.0,-5.091569276302508,-0.004324352924599501,-3.486211947578731,0,0,47.7196660770047,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
42.0,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.007150542265627767,-0.0,-4.901028642950695,-0.0041260574729135545,-3.326349886162434,0,0,47.725857872490586,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
42.5,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.006882949156673538,-0.0,-4.7176185681728535,-0.003936854962262936,-3.173818382688266,0,0,47.731796215545444,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
43.0,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.006625370123477451,-0.0,-4.541072206705155,-0.0037563284311088463,-3.0282812906104684,0,0,47.737491587882,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
43.5,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.006377430411571119,-0.0,-4.371132699373092,-0.003584080037900635,-2.8894178775579085,0,0,47.74295403324849,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
44.0,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.006138769290836978,-0.0,-4.20755279938434,-0.0034197301843188034,-2.756922118509088,0,0,47.748193175914594,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
44.5,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.005909039530678208,-0.0,-4.0500945126067736,-0.0032629166787221556,-2.63050202137898,0,0,47.75321823836941,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
45.0,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.005687906894829254,-0.0,-3.8985287513082825,-0.003113293937955514,-2.509878983531427,0,0,47.75803805826542,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
45.5,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.005475049655071937,-0.0,-3.752635000854596,-0.002970532225758958,-2.3947871777990066,0,0,47.76266110464081,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
46.0,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.005270158123149658,-0.0,-3.612200998880205,-0.0028343169261002034,-2.2849729666572673,0,0,47.76709549345137,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
46.5,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.005072934200198663,-0.0,-3.4770224264655902,-0.0027043478498287015,-2.180194343262313,0,0,47.77134900244126,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
47.0,0.0,0,-0.0,-583.9485576754452,47.103429773435295,-0.004883090943040847,-0.0,-3.3469026108714615,-0.002580338573123478,-2.080220398119899,0,0,47.77542908538148,293.15,293.15,3.6824964360839707,0.0021952756666666663,0.0014589880587440802,0.0012404159556629601,9157.613703327828,8790.448590570964
