Zeit [s],Leistung [kW],Leistung [W],Current [A],Charge [C],SOC [%],U_R1 [V],U_R [V],I_R1 [A],U_R2 [V],I_R2 [A],Q_Irreversibel [W],Q_Sum_Cell [W],U_ges [V],Temperatur [K],Output Temperature [K],OCV [V],R [Ohm],R1 [Ohm],R2 [Ohm],C1 [C],C2 [C],Delta OCV [V],Q_Reversibel [W],Q_Cell [W]
10.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
10.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
11.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
11.5,2.4,-2400,-49.88795995659747,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
12.0,9.5,-9500,-203.85546810069744,-24.943979978298735,49.87626994058384,-0.0028893389940175323,-0.10951782455235949,-2.1175923724609365,-0.0026776592715417455,-2.07963280401795,5.463620845801777,61.75628117918474,46.6016442360395,293.15,293.16382884014797,3.6998266871286494,0.0021952756666666668,0.0013433851171954624,0.0012987375650386232,8633.109520878663,9315.591510616832,4.876269940583839e-05,-0.7131376781721811,4.7504831676295955
12.5,2.7,-2700,-64.47427074896461,-126.87171402864746,49.370676021683295,-0.014441919223919405,-0.44728480918429087,-10.535846586260314,-0.013619223655317727,-10.688811230218198,91.19314114086899,1151.5557960016688,41.87717004993591,293.15,293.42163179723,3.696666725135521,0.00219412711050433,0.001364445316101946,0.0012875634902317272,8731.290833456955,9220.611798248441,4.370676021683295e-05,-2.6119260638175295,88.58121507705145
13.0,5.8,-5800,-126.69286656282522,-159.10884940312977,49.21076959621463,-0.017503582366486848,-0.14008423138755982,-12.649325632703478,-0.01654068935817932,-13.058399904929841,9.329559818250331,110.93807052521461,45.780004489233505,293.15,293.44528762523674,3.6956673099763417,0.0021727152515301526,0.0013707412219491652,0.0012741570004356517,8808.680388900124,9205.218371392013,4.210769596214633e-05,-0.795862085541514,8.533697732708816
13.5,5.4,-5400,-123.18633312616983,-222.45528268454237,48.896551177160006,-0.023930870117537587,-0.27501860515829474,-17.139127000088923,-0.022751533571162996,-18.106653529246838,35.280298895049015,439.8305502349989,43.83603166813331,293.15,293.5424877527722,3.69370344485725,0.0021707505135809433,0.001383756168094306,0.0012666704556914998,8871.82473754017,9148.069309188613,3.8965511771600064e-05,-1.4471796462029507,33.83311924884607
14.0,9.7,-9700,-221.60810093317943,-284.0484492476273,48.591029517620896,-0.029857684639754325,-0.26641231638317764,-21.04322171331568,-0.028526774911434193,-22.977279147003653,33.64046471269186,420.4677033943516,43.77096306115994,293.15,293.6349276044918,3.6917939344851307,0.0021626775440284677,0.0013962712405021227,0.0012565289071452932,8946.391499899451,9097.427571051827,3.591029517620896e-05,-1.2967952208186562,32.3436694918732
14.5,9.5,-9500,-233.4491785314952,-394.852499714217,48.04140625141758,-0.04092015495545887,-0.4775654441743125,-28.374833187857682,-0.03955919455247729,-32.481826524642976,107.1161407028041,1366.8240160929633,40.69408194005845,293.15,293.9388776438592,3.6883587890713603,0.002154999939818585,0.001418874212633565,0.0012415210142561297,9065.10361140301,9002.14224299555,3.0414062514175772e-05,-1.9758317725761558,105.14030893022795
15.0,5.4,-5400,-134.6601215459749,-511.5770889799646,47.4624152332343,-0.05203553805712231,-0.4971896319749569,-35.76235096950062,-0.05082577878423533,-42.41827410209398,118.51456862472072,1518.7821912670263,40.10095890308819,293.15,294.27552786178666,3.6847400952077143,0.002129755328772253,0.0014421284764757545,0.0012178870089853146,9224.798797665719,8918.734723536221,2.4624152332343032e-05,-1.6851692964879283,116.8293993282328
15.5,0.4,-400,-9.36293589624205,-578.9071497529521,47.128436757177816,-0.057328087605922576,-0.28302794323749086,-39.38204072867486,-0.056016507482271216,-46.94044194547228,42.129432228075515,536.7598435698608,42.7216424882868,293.15,294.3908076910352,3.6826527297323617,0.002101794800035592,0.0014550368375250283,0.0011982047798999515,9343.112394563483,8885.250300096031,2.1284367571778165e-05,-0.8402134919323789,41.289218736143134
16.0,1.2,-1200,-25.97809520868036,-583.5886177010732,47.105215189974835,-0.05572566647030755,-0.019589323786138084,-38.212524332948284,-0.05390312882862371,-45.23259775914477,5.070550281313489,65.1659774980188,46.19276318607956,293.15,294.3999819922791,3.682507594937343,0.00209222021844671,0.001455691135989833,0.0011933527926162694,9366.796332510654,8890.386487148147,2.1052151899748355e-05,-0.05778278146588847,5.0127674998476
16.5,1.0,-1000,-21.853889739366334,-596.5776653054133,47.04078539035013,-0.05507351105908842,-0.05433210143005079,-37.708653073961024,-0.05281895267927016,-44.38029784258622,5.979041434068422,75.70713616936128,45.75844446577663,293.15,294.41147667343523,3.6821049086896886,0.002091458245633659,0.0014583089561099414,0.001191687665511672,9379.995100705384,8879.78515389088,2.0407853903501306e-05,-0.15541557488678534,5.823625859181637
17.0,0.2,-200,-4.357875436083002,-607.5046101750966,46.986584274925114,-0.05422942971323016,-0.045685634154830776,-37.12012345450079,-0.05154931345081987,-43.33520200345986,5.4192775852242985,68.79610014922294,45.89392306719222,293.15,294.4213736013976,3.6817661517182825,0.002090503553357612,0.0014605006164253149,0.0011901441686267013,9391.727119898389,8871.184663502907,1.9865842749251146e-05,-0.1272698814379186,5.29200770378638
17.5,-0.2,200,4.308506167775574,-609.6835478931381,46.97577605211737,-0.052485893182903955,-0.00910657195126533,-35.937893544458746,-0.04935219275070689,-41.489627329548746,4.286588343566568,55.39751858586714,46.41980125173115,293.15,294.4282270223962,3.681698600325734,0.0020896815626861077,0.0014609172779207144,0.001189548244097355,9395.343157016687,8870.092245130767,1.975776052117368e-05,-0.02524076003832643,4.2613475835282415
18.0,-0.1,100,2.1405271027854424,-607.5292948092504,46.98646183130332,-0.05034388861479012,0.009000953448991208,-34.47674692007413,-0.04677129764680703,-39.32391282016294,3.97261719036676,51.9701906065465,46.71746499722951,293.15,294.43428304951584,3.6817653864456457,0.0020891123508912797,0.0014604610344780972,0.0011895067737944817,9394.564398075421,8872.52903617065,1.9864618313033235e-05,0.025089779367586246,3.9977069697343466
18.5,-0.1,100,2.1406533304014967,-606.4590312578576,46.99177067828444,-0.04839504660246611,0.004470724956662883,-33.14736376847895,-0.044434997803051324,-37.36200656693568,3.5844936458322882,46.760894928940566,46.7147102147755,293.15,294.4391461356341,3.681798566739278,0.0020886093667513866,0.0014602273448681242,0.0011893856509321097,9394.623522917886,8873.955120480688,1.991770678284439e-05,0.012498271778524575,3.5969919176108127
19.0,-0.1,100,2.138192218682326,-605.388704592657,46.99707983833007,-0.04651692200603388,0.004470123977832023,-31.86594545106228,-0.04220956690719877,-35.49203462973451,3.2739178798242654,42.72385266937038,46.76847999270412,293.15,294.44308398787524,3.6818317489895636,0.002088205462485425,0.0014599968474261218,0.0011893097262708325,9394.482444326413,8875.283427348097,1.9970798383300735e-05,0.012532325511917434,3.286450205336183
19.5,-0.1,100,2.135843106706801,-604.3196084833157,47.002382894427996,-0.04470707210134818,0.0044642853562232455,-30.630852945500077,-0.040089920692961786,-33.70998331943351,2.9899546097826426,39.03257497108236,46.819918413477154,293.15,294.4461780720194,3.6818648930901756,0.0020878784036424884,0.0014597690841300047,0.001189268728816027,9394.187214560705,8876.53481879822,2.0023828944279956e-05,0.012551157223692936,3.0025057670063355
20.0,-0.1,100,2.1335975097938946,-603.2516869299624,47.007680124355346,-0.042963003374196534,0.00445883182801623,-29.440409718191475,-0.03807105537255053,-32.01186631873082,2.7303696742212527,35.658222721359266,46.86919606016038,293.15,294.44850304029285,3.6818980007772213,0.002087621424071351,0.0014595438194585442,0.0011892595826308314,9393.751387802331,8877.716126907933,2.007680124355346e-05,0.012570535114075609,2.742940209335328
20.5,-0.1,100,2.1314505733257127,-602.1848881750655,47.0129717848459,-0.04128231683375049,0.004453731872938511,-28.2930014957239,-0.03614819785894034,-30.393856372873767,2.4930764284928664,32.573668979168524,46.91640578086196,293.15,294.45012714452,3.6819310736552873,0.002087428323521404,0.0014593208377684137,0.0011892794688535345,9393.187387460694,8878.833607492872,2.0129717848459023e-05,0.012590416058558634,2.505666844551425
21.0,-0.1,100,2.1293976843420714,-601.1191628884026,47.01825812059324,-0.03966270380323726,0.004448962785166533,-27.187073614667568,-0.03431679589105926,-28.85228187573577,2.2761665300662544,29.754105002143493,46.96163649247951,293.15,294.4511127831759,3.681964113253708,0.0020872934333282683,0.0014590999417290439,0.0011893258103042913,9392.506572822693,8879.892977244917,2.018258120593238e-05,0.012610777790937543,2.288777307857192
21.5,-0.1,100,2.127434462076644,-600.0544640462315,47.023539364850045,-0.03810194212215579,0.0044445034859731366,-26.121128628342426,-0.03257250863168617,-27.383623209122934,2.077894831607381,27.17684359907217,47.00497325891177,293.15,294.451517002016,3.681997121030313,0.002087211570978285,0.0014588809507559146,0.0011893962508358496,9391.719329851781,8880.89946010752,2.023539364850045e-05,0.012631599090478595,2.0905264306978593
22.0,-0.1,100,2.1255567451374073,-598.9907468151931,47.028815740004,-0.03659789255540932,0.004440334402557957,-25.093724033249487,-0.030911197550317408,-25.984508758940493,1.8966655549396347,24.82113939096101,47.04649745473413,293.15,294.4513919522712,3.682030098375025,0.0020871779985286274,0.0014586636995774266,0.0011894886364356102,9390.83515429809,8881.857829686329,2.0288157400039992e-05,0.01265285974967368,1.9093184146893085
22.5,1.3,-1300,-27.60888753315451,-597.9279684426244,47.0340874581219,-0.03514849539341154,0.004436437349156642,-24.053632518860468,-0.029328917599518344,-24.682943037730873,1.7310195988113994,22.66802381131768,47.08628692260336,293.15,294.45078530989497,3.682063046613262,0.0020871883845518537,0.0014584480369241597,0.001189600997928498,9389.862727780255,8882.772448036798,2.034087458121903e-05,0.012674540520729728,1.7436941393321292
23.0,3.9,-3900,-84.28914082320077,-611.7324122092017,46.96561303467658,-0.03533756209677953,-0.05762634043686587,-24.04223360793698,-0.029493839241606735,-24.9136433535849,3.1603721463198986,39.016696723633046,46.2693054159892,293.15,294.4538422102167,3.6816350814667294,0.002087238769315297,0.0014612551915329872,0.0011882261185258798,9402.118276146786,8870.711140068113,1.9656130346765793e-05,-0.1590877829635106,3.001284363356388
23.5,0.9,-900,-20.166050971150355,-653.8769826208021,46.75656258620634,-0.03852848590179979,-0.17591016228197245,-26.178758846641855,-0.03285435052491054,-27.81249592493301,16.411709355876386,207.70976140398386,44.6294617269164,293.15,294.49466053415364,3.68032851616379,0.0020869848780514892,0.0014698119431429892,0.0011838428776962796,9440.355034563621,8834.295210466053,1.756562586206343e-05,-0.4340354017237809,15.977673954152605
24.0,-0.4,400,8.625195548054453,-663.9600081063772,46.706547578837416,-0.03821056058969587,-0.04201787705882294,-25.978295468011577,-0.03242131918674292,-27.437450038834726,2.769724081707605,34.69490032609896,46.375760151922144,293.15,294.49655808796535,3.6800159223677342,0.0020835947067144632,0.0014717460872573844,0.0011812801919534907,9456.164147015428,8828.974117830081,1.706547578837416e-05,-0.10088559508460797,2.668838486622997
24.5,-0.5,500,10.591498302403684,-659.64741033235,46.727939432875246,-0.036380196566227756,0.017970052443815488,-24.751991063007367,-0.030379931837042847,-25.698364588629488,2.037198774713553,27.051561028216092,47.207674091448204,293.15,294.4967358132155,3.6801496214554708,0.002083437105129624,0.001470864808537824,0.001181644764395163,9452.625426525912,8832.87671793099,1.727939432875246e-05,0.043690535149223504,2.0808893098627763
25.0,-2.4,2400,50.72486887910242,-654.3516611811482,46.75420802985542,-0.03450975943709677,0.0220665642210987,-23.561976151892043,-0.02832675409546479,-23.909581498438595,1.914914842291409,25.601955698063875,47.31407006137673,293.15,294.4965881580214,3.680313800186596,0.0020834223441352777,0.0014697886918923105,0.001182173742312177,9447.922310500697,8837.486924814679,1.75420802985542e-05,0.054466365251965826,1.969381207543375
25.5,-3.4,3400,70.07812416852914,-628.989226741597,46.88001375624208,-0.0305689096839505,0.10568194729159115,-20.97378356803514,-0.024114631485619067,-20.303213237951056,6.851101883750324,92.69857793516792,48.51728039728096,293.15,294.5114658292025,3.6811000859765137,0.002083434607657111,0.0014646377372861236,0.0011847448729838562,9425.23182616716,8859.482176882146,1.8800137562420788e-05,0.27955795741643896,7.130659841166763
26.0,-1.1,1100,22.365218265208508,-593.9501646573324,47.053818627691804,-0.025723880563068097,0.14591659590949707,-17.677972389767493,-0.01903193925523027,-16.023121360259687,11.356311527223951,153.11706470210112,49.18351285268554,293.15,294.53980780929834,3.682186366423074,0.002082198940693473,0.001457481888510507,0.0011877248789636734,9396.425229326738,8891.088945549485,2.0538186276918043e-05,0.421924219091518,11.77823574631547
26.5,0.0,0,-0.0,-582.7675555247281,47.10928791902417,-0.02359193310222943,0.046516187243191814,-16.21284254057314,-0.01687603155470578,-14.207854257829522,1.8000418033185321,25.198347089454252,47.95155653704205,293.15,294.53938169925397,3.682533049493901,0.0020798449937576833,0.0014551375008345301,0.0011877797607170977,9391.223609052682,8903.057309950953,2.109287919024169e-05,0.13829258817794868,1.9383343914964808
